targetId,drugId,maxClinicalStage
ENSG00000167397,CHEMBL1200879,APPROVAL
ENSG00000122194,CHEMBL877,APPROVAL
ENSG00000183873,CHEMBL741,APPROVAL
ENSG00000136531,CHEMBL741,APPROVAL
ENSG00000196876,CHEMBL741,APPROVAL
ENSG00000169432,CHEMBL741,APPROVAL
ENSG00000185313,CHEMBL741,APPROVAL
ENSG00000136546,CHEMBL741,APPROVAL
ENSG00000153253,CHEMBL741,APPROVAL
ENSG00000007314,CHEMBL741,APPROVAL
ENSG00000168356,CHEMBL741,APPROVAL
ENSG00000144285,CHEMBL741,APPROVAL
ENSG00000142319,CHEMBL1201192,APPROVAL
ENSG00000128052,CHEMBL1289926,APPROVAL
ENSG00000102755,CHEMBL1289926,APPROVAL
ENSG00000037280,CHEMBL1289926,APPROVAL
ENSG00000259207,CHEMBL1201584,APPROVAL
ENSG00000138448,CHEMBL1201584,APPROVAL
ENSG00000005961,CHEMBL1201584,APPROVAL
ENSG00000113161,CHEMBL1744447,APPROVAL
ENSG00000082556,CHEMBL511142,APPROVAL
ENSG00000112038,CHEMBL511142,APPROVAL
ENSG00000196639,CHEMBL1659,APPROVAL
ENSG00000109163,CHEMBL1200775,APPROVAL
ENSG00000119535,CHEMBL1201568,APPROVAL
ENSG00000187486,CHEMBL1272,APPROVAL
ENSG00000006071,CHEMBL1272,APPROVAL
ENSG00000137869,CHEMBL1399,APPROVAL
ENSG00000095303,CHEMBL1120,APPROVAL
ENSG00000073756,CHEMBL1120,APPROVAL
ENSG00000133731,CHEMBL1200826,APPROVAL
ENSG00000082701,CHEMBL1200826,APPROVAL
ENSG00000105723,CHEMBL1200826,APPROVAL
ENSG00000197635,CHEMBL237500,APPROVAL
ENSG00000113161,CHEMBL1496,APPROVAL
ENSG00000097007,CHEMBL5416410,APPROVAL
ENSG00000186716,CHEMBL5416410,APPROVAL
ENSG00000196639,CHEMBL1172,APPROVAL
ENSG00000101162,CHEMBL501867,APPROVAL
ENSG00000188229,CHEMBL501867,APPROVAL
ENSG00000176014,CHEMBL501867,APPROVAL
ENSG00000137285,CHEMBL501867,APPROVAL
ENSG00000196230,CHEMBL501867,APPROVAL
ENSG00000123416,CHEMBL501867,APPROVAL
ENSG00000104833,CHEMBL501867,APPROVAL
ENSG00000261456,CHEMBL501867,APPROVAL
ENSG00000167553,CHEMBL501867,APPROVAL
ENSG00000152086,CHEMBL501867,APPROVAL
ENSG00000137267,CHEMBL501867,APPROVAL
ENSG00000127824,CHEMBL501867,APPROVAL
ENSG00000258947,CHEMBL501867,APPROVAL
ENSG00000167552,CHEMBL501867,APPROVAL
ENSG00000198033,CHEMBL501867,APPROVAL
ENSG00000073756,CHEMBL704,APPROVAL
ENSG00000095303,CHEMBL704,APPROVAL
ENSG00000012779,CHEMBL704,APPROVAL
ENSG00000132170,CHEMBL704,APPROVAL
ENSG00000100429,CHEMBL343448,APPROVAL
ENSG00000116478,CHEMBL343448,APPROVAL
ENSG00000048052,CHEMBL343448,APPROVAL
ENSG00000061273,CHEMBL343448,APPROVAL
ENSG00000068024,CHEMBL343448,APPROVAL
ENSG00000171720,CHEMBL343448,APPROVAL
ENSG00000163517,CHEMBL343448,APPROVAL
ENSG00000108840,CHEMBL343448,APPROVAL
ENSG00000147099,CHEMBL343448,APPROVAL
ENSG00000094631,CHEMBL343448,APPROVAL
ENSG00000196591,CHEMBL343448,APPROVAL
ENSG00000169083,CHEMBL386630,APPROVAL
ENSG00000138735,CHEMBL1737,APPROVAL
ENSG00000102468,CHEMBL3544974,APPROVAL
ENSG00000149295,CHEMBL3544974,APPROVAL
ENSG00000091831,CHEMBL1200980,APPROVAL
ENSG00000176890,CHEMBL1773,APPROVAL
ENSG00000102468,CHEMBL1112,APPROVAL
ENSG00000149295,CHEMBL1112,APPROVAL
ENSG00000178394,CHEMBL1112,APPROVAL
ENSG00000113580,CHEMBL1370,APPROVAL
ENSG00000129521,CHEMBL2338329,APPROVAL
ENSG00000269858,CHEMBL2338329,APPROVAL
ENSG00000135766,CHEMBL2338329,APPROVAL
ENSG00000178467,CHEMBL2338329,APPROVAL
